女开 妍
女户 妒
女支 妓
女夭 妖
女今 妗
女少 妙
爿女 妝
女丑 妞
女比 妣
女予 妤
女方 妨
女无 妩
女区 妪
女为 妫
女尼 妮
女由 妯
女旦 妲
女尔 妳
女未 妹
女母 姆
女台 始
女且 姐
女古 姑
女以 姒
女生 姓
女册 姗
女并 姘
女兆 姚
女朱 姝
女交 姣
女老 姥
女夷 姨
女至 姪
女臣 姫
女臣 姬
女亘 姮
女宅 姹
女因 姻
女圭 娃
女亚 娅
女尧 娆
女乔 娇
女甹 娉
女里 娌
女尾 娓
女良 娘
女吳 娛
女那 娜
女肙 娟
女辰 娠
女弟 娣
女我 娥
女免 娩
女矣 娭
女吴 娱
女呙 娲
女闲 娴
女昌 娼
女阿 婀
女宛 婉
女表 婊
女疌 婕
女昏 婚
女卑 婢
女帚 婦
女青 婧
女亞 婭
女单 婵
女审 婶
女亭 婷
女胥 婿
女某 媒
女弇 媕
女眉 媚
女爰 媛
女咼 媧
女昷 媪
女息 媳
女辱 媷
女蚩 媸
女馬 媽
女冓 媾
女家 嫁
女叟 嫂
女疾 嫉
女兼 嫌
女爱 嫒
女宾 嫔
女票 嫖
女區 嫗
女累 嫘
女曼 嫚
女章 嫜
女啇 嫡
女焉 嫣
女常 嫦
女敕 嫩
女翏 嫪
女莫 嫫
女啬 嫱
女無 嫵
女閑 嫻
女堯 嬈
女喜 嬉
女單 嬋
女喬 嬌
女亶 嬗
女睘 嬛
女賓 嬪
女麽 嬷
女審 嬸
女霜 孀
女襄 孃
子乚 孔
子小 孙
子攵 孜
子包 孢
子瓜 孤
子亥 孩
子系 孫
享丸 孰
卵孚 孵
子需 孺
又寸 对
圭寸 封
身寸 射
丬夕寸 将
爿夕寸 將
尸示寸 尉
壴寸 尌
业羊寸 對
京尤 就
山乞 屹
山己 屺
山山 屾
山与 屿
山牙 岈
山开 岍
山支 岐
山区 岖
山见 岘
山句 岣
山由 岫
山甲 岬
山令 岭
山古 岵
山民 岷
山旬 峋
山同 峒
山寺 峙
山夹 峡
山乔 峤
山争 峥
山我 峨
山谷 峪
山肖 峭
山夆 峰
山見 峴
山夋 峻
山夾 峽
山劳 崂
山来 崃
山空 崆
山奇 崎
山屈 崛
山享 崞
山爭 崢
山肴 崤
山奄 崦
山要 崾
禾尤山 嵇
山乘 嵊
山眉 嵋
山荣 嵘
山娄 嵝
山兹 嵫
山差 嵯
山脊 嵴
山章 嶂
山區 嶇
山勞 嶗
山粦 嶙
山登 嶝
山睪 嶧
山榮 嶸
山與 嶼
山營 巆
工丂 巧
工凡 巩
刂巾 帅
巾凡 帆
刂帀 师
巾韦 帏
巾长 帐
巾皮 帔
巾白 帕
巾占 帖
巾失 帙
巾只 帜
丿巾 帥
巾贞 帧
丿帀 師
巾寿 帱
巾長 帳
巾隹 帷
巾责 帻
巾国 帼
巾冒 帽
巾貞 幀
巾韋 幃
巾屋 幄
巾畐 幅
巾晃 幌
巾曼 幔
巾國 幗
巾章 幛
巾菐 幞
巾戠 幟
巾番 幡
巾童 幢
巾壽 幬
龺人干 幹
幺力 幼
杀式 弑
杀式 弒
弓丨 引
弓厶 弘
弓也 弛
弓长 张
弓尔 弥
弓玄 弦
弓瓜 弧
弓耳 弭
弓冫弓冫 弱
弓巠 弳
弓長 張
弓厶虫 強
弓单 弹
弓虽 强
士冖一弓殳 彀
弓單 彈
弓畺 彊
弓爾 彌
寻蒦 彟
开彡 形
丹彡 彤
采彡 彩
林彡 彬
壴彡 彭
章彡 彰
景彡 影
彳方 彷
彳公 彸
彳殳 役
彳切 彻
彳皮 彼
彳弗 彿
彳王 往
彳正 征
彳且 徂
彳又工 径
彳寺 待
彳旬 徇
彳艮 很
彳羊 徉
彳回 徊
彳聿 律
彳幺夂 後
彳余 徐
彳巠 徑
彳走 徒
彳来 徕
彳旦寸 得
彳非 徘
彳歨 徙
彳尚 徜
彳从足 從
彳來 徠
彳卸 御
彳皇 徨
彳复 復
彳盾 循
彳奚 徯
彳十罒一心 德
彳敫 徼
忄乙 忆
忄刀 忉
忄千 忏
忄大 忕
忄寸 忖
忄亡 忙
忄中 忡
忄午 忤
忄尤 忧
忄公 忪
忄夬 快
忄卞 忭
忄支 忮
忄冘 忱
忄丑 忸
忄斤 忻
忄气 忾
忄不 怀
忄无 怃
忄区 怄
忄长 怅
忄仓 怆
忄召 怊
忄乍 怍
忄央 怏
忄正 怔
忄白 怕
忄布 怖
忄古 怙
忄旦 怛
忄令 怜
忄台 怡
忄平 怦
忄生 性
忄尼 怩
忄圣 怪
忄弗 怫
忄去 怯
忄术 怵
忄旬 恂
忄寺 恃
忄亙 恆
忄光 恍
忄亘 恒
忄西 恓
忄灰 恢
忄血 恤
耳心 恥
忄艮 恨
忄各 恪
忄同 恫
忄舌 恬
忄合 恰
忄动 恸
忄厌 恹
忄岂 恺
忄则 恻
忄亠凶 恼
忄军 恽
忄困 悃
忄肖 悄
忄兌 悅
忄弟 悌
忄旱 悍
忄邑 悒
忄每 悔
忄孛 悖
忄束 悚
忄夋 悛
忄里 悝
忄吾 悟
忄兑 悦
忄利 悧
忄坚 悭
忄闵 悯
忄非 悱
忄卒 悴
忄長 悵
忄季 悸
忄幸 悻
忄卓 悼
忄妻 悽
忄青 情
忄周 惆
忄京 惊
忄宛 惋
忄卷 惓
忄易 惕
忄罔 惘
忄叕 惙
忄忽 惚
忄昏 惛
忄昔 惜
忄尚 惝
忄隹 惟
忄店 惦
忄具 惧
忄参 惨
忄匚夹 惬
忄斩 惭
忄单 惮
忄贯 惯
忄左 惰
忄巛囟 惱
忄耑 惴
忄皇 惶
忄星 惺
忄則 惻
忄秋 愀
忄俞 愉
忄复 愎
忄咢 愕
忄匧 愜
忄昷 愠
忄罒方 愣
忄贲 愤
忄贵 愦
忄鬼 愧
忄素 愫
忄倉 愴
忄豈 愷
忄氣 愾
忄栗 慄
忄兼 慊
忄荒 慌
忄囚皿 慍
忄真 慎
忄聂 慑
忄參 慘
忄斬 慚
忄動 慟
忄曼 慢
忄貫 慣
忄既 慨
忄區 慪
忄堅 慳
忄習 慴
忄庸 慵
忄康 慷
忄曾 憎
忄粦 憐
忄焦 憔
忄單 憚
忄賁 憤
忄童 憧
忄閔 憫
忄景 憬
忄意 憶
忄楚 憷
忄農 憹
忄感 憾
忄董 懂
忄解 懈
忄奥 懊
忄赖 懒
忄禀 懔
忄蒙 懞
忄需 懦
忄厭 懨
忄憂 懮
忄瞢 懵
忄賴 懶
忄褱 懷
忄韱 懺
忄瞿 懼
忄聶 懾
壹恣 懿
丿戈 戊
又戈 戏
丁戈 成
扌戈 我
爿戈 戕
仓戈 戗
占戈 战
龺戈 戟
音戈 戠
甚戈 戡
咠戈 戢
盈戈 戤
星戈 戥
倉戈 戧
晋戈 戬
翏戈 戮
單戈 戰
虍豆戈 戲
翟戈 戳
户斤 所
扌乚 扎
扌卜 扑
扌八 扒
扌丁 打
扌乃 扔
扌厶 払
扌乇 托
扌工 扛
扌乞 扢
扌口 扣
扌千 扦
扌丸 执
扌广 扩
扌门 扪
扌彐 扫
扌昜 扬
扌丑 扭
扌分 扮
扌止 扯
扌尤 扰
扌反 扳
扌夫 扶
扌比 批
扌厄 扼
扌戈 找
扌支 技
扌卞 抃
扌少 抄
扌夬 抉
扌巴 把
扌卬 抑
扌予 抒
扌爪 抓
扌殳 投
扌斗 抖
扌亢 抗
扌斤 折
扌无 抚
扌九力 抛
扌专 抟
扌区 抠
扌仑 抡
扌仓 抢
扌户 护
扌卩又 报
扌平 抨
扌皮 披
扌台 抬
扌包 抱
扌氐 抵
扌末 抹
扌申 抻
扌甲 押
扌由 抽
扌民 抿
扌弗 拂
扌主 拄
扌旦 担
扌斥 拆
扌母 拇
扌占 拈
扌立 拉
扌付 拊
扌尢力 拋
扌半 拌
扌白 拍
扌令 拎
扌另 拐
扌甘 拑
扌巨 拒
扌石 拓
扌犮 拔
扌亻也 拖
扌幼 拗
扌句 拘
扌出 拙
扌弁 拚
扌召 招
手手 拜
扌以 拟
扌龙 拢
扌柬 拣
扌用 拥
扌兰 拦
扌宁 拧
扌发 拨
扌舌 括
扌式 拭
扌吉 拮
扌丞 拯
扌共 拱
扌全 拴
扌巛夕 拶
扌考 拷
扌并 拼
扌曳 拽
扌合 拾
扌寺 持
